iern,school_id,school_name,region,division,district,leg_district,latitude,longitude,match_key,linear_distance_km,distance_outlier_percentile,nearby_school_count,isolation_forest_score,isolation_forest_outlier,coordinate_outlier_category,coordinate_outlier_method
2026-01504,135832,Anao Elementary School,CAR,IFUGAO,HINGYON,LONE DISTRICT,11.458133,123.200577,car_ifugao,634.661176,100,0,104.487187,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-43015,129697,Jose L. Porras Elementary School,REGION XI,DAVAO CITY,SAN ROQUE,2ND DISTRICT,24.038445,28.4776,regionxi_davao,10405.12281,100,0,1418.885626,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-26866,114702,Belis Elementary School      ,REGION VI,AKLAN,BURUANGA,LONE DISTRICT,11.8782387,121.8847221,regionvi_aklan,51.872239,98.42,11,7.614924,TRUE,isolation_forest_outlier,isolation_forest
2026-12781,501750,Namabbalan Integrated School,REGION II,TUGUEGARAO CITY,TUGUEGARAO EAST EDUCATIONAL ZONE,3RD DISTRICT,17.54138889,121.7861111,regionii_tuguegarao,12.073677,100,3,10.901716,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-29857,117146,CEMECO ELEMENTARY SCHOOL,NIR,NEGROS OCCIDENTAL,HINOBAAN,6TH DISTRICT,12.857745,121.677339,nir_negrosoccidental,269.054101,99.83,0,15.483041,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-06594,111435,Canjalon Elementary School,MIMAROPA,ROMBLON,SAN FERNANDO,LONE DISTRICT,12.3121429,122.6672834,mimaropa_romblon,52.164946,86.67,2,9.051739,TRUE,isolation_forest_outlier,isolation_forest
2026-22195,125733,Buhangin Mahaba Elementary School,REGION IX,ZAMBOANGA SIBUGAY,OLUTANGA,1ST DISTRICT,7.28559,122.82318,regionix_zamboangasibugay,61.582159,98.62,8,4.705423,TRUE,isolation_forest_outlier,isolation_forest
2026-18303,108567,Mabini Elementary School,REGION IV-A,QUEZON,BURDEOS,1ST DISTRICT,15.015062,122.014363,iva_quezon,123.268912,95.41,2,7.871596,TRUE,isolation_forest_outlier,isolation_forest
2026-15747,106657,Salcedo Elementary School,REGION III,TARLAC,SAN MANUEL,1ST DISTRICT,15.85546,120.60068,regioniii_tarlac,41.415267,100,5,4.576032,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-14110,105263,Cabileo Elementary School,REGION III,NUEVA ECIJA,CUYAPO,1ST DISTRICT,13.205482,123.07194,regioniii_nuevaecija,363.433065,99.87,0,44.833645,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-04194,132425,Magsaysay Elementary School,CARAGA,DINAGAT ISLAND,LORETO,LONE DISTRICT,10.451201,125.468561,caraga_dinagatisland,35.031486,97.92,3,5.975092,TRUE,isolation_forest_outlier,isolation_forest
2026-09116,137168,Silaki Island Elementary School,REGION I,"PANGASINAN I, LINGAYEN",BOLINAO,1ST DISTRICT,16.4420842,119.9227342,regioni_pangasinanilingayen,56.360612,98.64,3,5.502121,TRUE,isolation_forest_outlier,isolation_forest
2026-04104,322505,Mabog National High School,CARAGA,BISLIG CITY,BISLIG CITY II,2ND DISTRICT,8.2094824,126.175719,caraga_bislig,15.340464,100,3,7.026261,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-41539,301585,Panibasan National High School,REGION XI,DAVAO DE ORO,MACO NORTH,2ND DISTRICT,12.814591,121.822876,regionxi_davaodeoro,739.788349,100,0,87.463722,TRUE,extreme_outlier,univariate_percentile+isolation_forest
