iern,school_id,linear_distance_km
2026-27021,114839,6.628562
2026-37088,123260,
2026-06289,110992,344.729103
2026-02140,136390,2.956561
2026-07501,136836,1.092131
2026-10305,300396,
2026-24106,301996,80.975154
2026-10311,300406,
2026-44802,501967,34.610428
2026-36998,303569,32.987655
2026-08909,101163,23.476837
2026-37628,123388,21.715793
2026-38943,199518,1.961159
2026-42487,129277,85.405987
2026-16951,107330,44.382475
2026-38370,124014,0.503775
2026-09325,101539,24.135746
2026-02760,136978,16.229898
2026-15526,106472,12.59486
2026-12078,103843,40.671044
2026-39288,501892,33.53481
2026-09636,300358,0.936722
2026-05917,111196,110.383897
2026-01133,135508,3.677848
2026-11769,300549,48.003557
2026-30253,117498,9.415143
2026-12084,103849,40.179855
2026-31780,306396,71.127201
2026-33721,120054,62.489559
2026-23996,301998,14.85467
2026-21201,124945,36.168734
2026-05715,170559,75.305884
2026-09370,101577,34.451754
2026-42161,205003,25.12707
2026-39438,126358,61.97138
2026-11034,102899,89.757813
2026-07689,320802,41.922592
2026-05775,502724,300.897859
2026-43009,501067,13.230687
2026-00579,135145,27.450065
2026-37580,123345,53.665547
2026-08140,100491,48.913592
2026-06104,110920,308.609766
2026-40092,127279,23.256906
2026-38303,124061,9.174584
2026-37639,123445,16.827997
2026-06833,136418,4.515513
2026-12982,103379,9.370293
2026-08037,100369,1.699523
2026-05841,111067,57.731721
2026-27911,310805,29.046508
2026-42682,129475,27.862622
2026-07252,319904,1.273916
2026-08221,300053,22.487752
2026-06165,301718,25.356967
2026-31299,118312,48.13682
2026-09811,101913,24.24676
2026-23451,112083,12.284029
2026-11712,306166,30.191965
2026-11421,103094,39.430833
2026-04755,110134,115.834935
2026-45548,304638,5.460462
2026-03300,132163,2.793987
2026-36950,123108,67.25883
2026-39587,303985,70.409145
2026-42079,128812,16.797423
2026-01044,135436,23.521883
2026-13252,104526,40.877928
2026-21041,124828,161.558809
2026-39690,303998,3.327556
2026-44160,137136,17.173691
2026-43060,129732,14.825681
2026-07371,340635,1.519246
2026-09982,102045,16.539221
2026-42644,305517,27.414361
2026-07961,100306,11.483937
2026-10826,102675,47.686199
2026-00952,219003,15.930706
2026-01701,502460,21.642093
2026-04884,110250,102.845486
2026-07359,136762,1.79683
2026-22313,125837,28.908845
2026-45643,305749,2.43173
2026-03549,132541,11.397436
2026-00669,305076,8.762414
2026-37803,123585,13.328896
2026-28290,116777,80.776476
2026-37690,123490,19.880038
2026-42684,206007,33.319734
2026-04662,110068,30.890433
2026-10667,155010,57.231553
2026-03521,132477,22.275669
2026-37908,123676,23.250076
2026-02015,136315,18.35123
2026-02231,220532,0.076776
2026-08478,100774,71.743484
2026-05104,110394,87.475073
2026-28106,115785,50.277404
2026-03243,132198,2.928911
2026-01504,135832,634.661176
2026-43694,129905,36.433917
2026-06863,136439,2.281461
2026-38871,103677,7.60349
2026-10379,101184,6.980959
2026-07734,100119,20.0632
2026-09998,102060,20.332767
2026-17113,107465,14.763807
2026-11011,102869,6.139489
2026-01284,318916,8.491326
2026-12973,103363,5.772554
2026-12170,103169,34.91204
2026-12928,325201,2.887075
2026-37349,122948,41.251005
2026-14941,106042,23.934834
2026-37020,123205,41.433732
2026-30091,117328,43.674665
2026-08729,500355,13.918497
2026-36075,121608,33.853862
2026-36987,123162,51.856385
2026-38882,126592,2.223527
2026-07527,136855,2.417535
2026-12795,300668,1.744612
2026-02257,220510,9.779682
2026-09241,101467,39.838034
2026-11803,103585,15.109843
2026-34626,120642,24.800227
2026-08606,100899,32.678251
2026-06999,136554,7.226002
2026-21159,124913,41.905867
2026-37279,122900,58.925374
2026-38132,123885,27.697661
2026-08439,100739,9.397241
2026-11675,103481,66.534448
2026-05688,309144,126.012743
2026-17108,107460,19.903359
2026-37416,303560,46.638647
2026-37478,123035,51.915436
2026-37018,123202,43.200773
2026-37265,122887,46.381389
2026-37297,122919,72.259651
2026-37099,303583,29.885821
2026-18944,502725,134.873491
2026-43873,500460,15.724175
2026-04596,301559,13.449978
2026-42525,305515,48.537188
2026-08396,300065,51.376468
2026-08449,100745,68.735456
2026-05297,170023,17.632258
2026-13473,300708,17.140043
2026-06346,301656,126.926839
2026-00463,134971,15.623545
2026-06314,111025,222.405001
2026-03965,317941,61.024268
2026-37114,123284,35.793601
2026-37499,123172,32.050039
2026-44976,130856,19.313038
2026-00003,134298,8.347329
2026-06097,170584,94.496925
2026-22018,125595,41.415039
2026-30465,117747,2.26709
2026-11103,155027,29.835633
2026-21936,125532,44.081199
2026-41383,304787,0.016232
2026-20513,124386,10.967839
2026-10250,102262,6.763511
2026-22870,303939,57.247711
2026-11598,103328,55.492833
2026-20445,124340,41.125966
2026-03214,132165,12.154452
2026-13782,105021,5.519977
2026-27619,178510,66.592123
2026-04954,110310,102.280529
2026-05511,110698,24.334576
2026-01927,136252,6.427744
2026-14883,105979,20.902196
2026-01657,135768,43.628461
2026-14484,105623,24.436413
