region,province,company,sector,industry,longitude,latitude,coordinates
Region VII,Cebu,WORLDWIDE CONSOLIDATED FREIGHT CORP.,Transportation,Warehousing and Support Activities for Transportation,123.9423634,10.3342504,"10.3342504,123.9423634"
Region VII,Cebu,QUICKFLO FORWARDERS INC.,Transportation,Warehousing and Support Activities for Transportation,123.9410293,10.3351613,"10.3351613,123.9410293"
Region VII,Cebu,"RMA CARGO LOGISTICS, INC.",Transportation,Warehousing and Support Activities for Transportation,123.9367392,10.3309119,"10.3309119,123.9367392"
Region VII,Cebu,ASPAC INTERNATIONAL AIRFREIGHT INC.,Transportation,Warehousing and Support Activities for Transportation,123.9356608,10.329668,"10.329668,123.9356608"
Region VII,Cebu,"AAI WORLWIDE LOGISTICS, INC.",Transportation,Warehousing and Support Activities for Transportation,123.9352568,10.3584404,"10.3584404,123.9352568"
Region VII,Cebu,"TRANSMODAL INTERNATIONAL, INC.",Transportation,Warehousing and Support Activities for Transportation,123.933989,10.331301,"10.331301,123.933989"
Region VII,Cebu,DSV AIR & SEA INC.,Transportation,Warehousing and Support Activities for Transportation,123.9337796,10.3317706,"10.3317705967026,123.933779596794"
Region VII,Cebu,TRANSGLOBE LOGISTICS INTERNATIONAL,Transportation,Warehousing and Support Activities for Transportation,123.9335186,10.3314636,"10.3314636,123.9335186"
Region VII,Cebu,"PURCIA TRANSPORT SYSTEM, INC.",Transportation,Warehousing and Support Activities for Transportation,123.9334301,10.3315448,"10.3315448,123.9334301"
Region VII,Cebu,HJR INTERNATIONAL CORPORATION,Transportation,Warehousing and Support Activities for Transportation,123.9302795,10.3644455,"10.3644455,123.9302795"
Region VII,Cebu,HJR INTERNATIONAL CORPORATION,Transportation,Warehousing and Support Activities for Transportation,123.9302795,10.3644455,"10.3644455,123.9302795"
Region VII,Cebu,"CEBU SUBZERO LOGISTICS, INC.",Transportation,Warehousing and Support Activities for Transportation,123.9297653,10.3159067,"10.3159067,123.9297653"
Region VII,Cebu,"CEBU SUBZERO LOGISTICS, INC.",Transportation,Warehousing and Support Activities for Transportation,123.9297653,10.3159067,"10.3159067,123.9297653"
Region VII,Cebu,5G WAREHOUSE & ADVANCED LOGISTICS INC.,Transportation,Warehousing and Support Activities for Transportation,123.929246,10.33525051,"10.3352505136505,123.929245966794"
Region VII,Cebu,"5G WAREHOUSING & ADVANCE LOGISTICS, INC.",Transportation,Warehousing and Support Activities for Transportation,123.9291601,10.33519774,"10.3351977398519,123.929160136106"
Region VII,Cebu,5G WAREHOUSE & ADVANCED LOGISTICS INC.,Transportation,Warehousing and Support Activities for Transportation,123.9291387,10.33519774,"10.3351977398519,123.929138678435"
Region VII,Cebu,TSUMETAI CORPORATION,Transportation,Warehousing and Support Activities for Transportation,123.9273783,10.3482059,"10.3482059,123.9273783"
Region VII,Cebu,TSUMETAI CORPORATION,Transportation,Warehousing and Support Activities for Transportation,123.9273783,10.3482059,"10.3482059,123.9273783"
