region,sdo,size,authorized_position,total_enrolment,teacher_count,school_count,classroom_count,psds_count,districts_count,psds_need,legdist_count,locality,locality_classification,fixed_cost,schools_multiplier,teacher_multiplier,classroom_multiplier,enrolment_multiplier,staff_multiplier,total_mooe,district_school_ratio,excess_school,additional_districts_needed,latitude,longitude,match_key
NCR,Navotas,M,84,"46,219","1,769",32,737,10,2,-8,1,City,Highly Urbanized,"2,400,000","3,120",1430,143,8,12000,"6,512,653.00",30,2,0,14.6580719,120.9478944,ncr_navotas
NCR,Mandaluyong City,M,84,"52,542","2,135",44,1823,10,2,-8,1,City,Highly Urbanized,"2,400,000","3,120",1430,143,8,12000,"7,279,355.00",30,14,1,14.5820092,121.0494407,ncr_mandaluyong
NCR,Manila,L,142,"252,862","11,020",133,8288,33,39,6,6,City,Highly Urbanized,"2,400,000","3,120",1430,143,8,12000,"23,485,640.00",585,-452,-30,14.5936428,120.9822135,ncr_manila
NCR,Marikina City,M,84,"76,216","2,887",48,1899,10,2,-8,2,City,Highly Urbanized,"2,400,000","3,120",1430,143,8,12000,"8,567,455.00",30,18,1,14.6307718,121.0977952,ncr_marikina
NCR,Muntinlupa City,M,84,"83,868","2,753",33,1934,10,2,-8,1,City,Highly Urbanized,"2,400,000","3,120",1430,143,8,12000,"8,395,256.00",30,3,0,14.3877931,121.0467708,ncr_muntinlupa
NCR,Paranaque City,M,84,"100,923","3,386",52,2209,10,3,-7,2,City,Highly Urbanized,"2,400,000","3,120",1430,143,8,12000,"9,535,491.00",45,7,0,14.4910175,120.9897141,ncr_paranaque
NCR,Pasay City,M,84,"63,982","2,386",41,2062,10,4,-6,1,City,Highly Urbanized,"2,400,000","3,120",1430,143,8,12000,"7,754,622.00",60,-19,-1,14.5449443,121.001437,ncr_pasay
NCR,Pasig City,M,84,"142,463","4,803",54,4335,10,5,-5,1,City,Highly Urbanized,"2,400,000","3,120",1430,143,8,12000,"12,204,379.00",75,-21,-1,14.5608395,121.0787971,ncr_pasig
NCR,City of San Juan,S,61,"11,585",482,18,526,0,2,2,1,City,Highly Urbanized,"2,400,000","3,120",1430,143,8,12000,"4,045,318.00",30,-12,-1,14.6043894,121.0290545,ncr_sanjuan
NCR,Quezon City,L,142,"420,619","14,817",195,9263,33,20,-13,6,City,Highly Urbanized,"2,400,000","3,120",1430,143,8,12000,"30,590,271.00",300,-105,-7,14.658763,121.026885,ncr_quezon
NCR,Taguig City and Pateros,M,84,"194,931","6,981",89,3865,10,5,-5,2,City,Highly Urbanized,"2,400,000","3,120",1430,143,8,12000,"15,780,653.00",75,14,1,14.4883803,121.0474888,ncr_taguigcity
NCR,Valenzuela City,M,84,"130,349","4,522",87,2729,10,4,-6,2,City,Highly Urbanized,"2,400,000","3,120",1430,143,8,12000,"11,578,939.00",60,27,2,14.6757772,120.9847396,ncr_valenzuela
NIR,Bais City,S,61,"20,054","1,011",93,834,0,2,2,2,City,Component City,"2,400,000","3,120",1430,143,8,12000,"5,147,584.00",30,63,4,9.5943402,123.118047,nir_bais
NIR,Bacolod City,M,84,"113,210","4,075",93,3366,10,7,-3,1,City,Highly Urbanized,"2,400,000","3,120",1430,143,8,12000,"10,912,428.00",105,-12,-1,10.6650008,122.9428036,nir_bacolod
NIR,Bago City,M,84,"36,631","1,439",54,1404,10,4,-6,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"6,128,070.00",60,-6,0,10.5379502,122.8376699,nir_bago
NIR,Bayawan City,M,84,"42,863","1,677",132,1487,10,3,-7,2,City,Component City,"2,400,000","3,120",1430,143,8,12000,"6,773,495.00",45,87,6,9.3610518,122.8138486,nir_bayawan
NIR,Cadiz City,M,84,"39,722","1,542",87,1296,10,4,-6,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"6,387,604.00",60,27,2,10.9573736,123.3101028,nir_cadiz
NIR,Canlaon City,S,61,"14,543",518,46,396,0,1,1,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"4,189,232.00",15,31,2,10.3889263,123.2182149,nir_canlaon
NIR,Dumaguete City,S,61,"25,108",925,31,555,0,3,3,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"4,831,699.00",45,-14,-1,9.3137484,123.2880791,nir_dumaguete
NIR,Escalante City,S,61,"24,824","1,033",60,749,0,2,2,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"5,102,089.00",30,30,2,10.8535019,123.4846677,nir_escalante
NIR,Guihulngan City,S,61,"34,758","1,347",123,1012,0,3,3,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"5,864,750.00",45,78,5,10.1186593,123.2688693,nir_guihulngan
NIR,Himamaylan City,M,84,"28,216","1,138",78,935,10,2,-8,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"5,638,133.00",30,48,3,10.0991365,122.8712795,nir_himamaylan
NIR,Kabankalan City,M,84,"49,753","1,966",115,1819,10,5,-5,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"7,236,321.00",75,40,3,9.9884097,122.8151182,nir_kabankalan
NIR,La Carlota City,S,61,"17,648",796,35,937,0,3,3,2,City,Component City,"2,400,000","3,120",1430,143,8,12000,"4,654,655.00",45,-10,-1,10.4255665,122.9174696,nir_lacarlota
NIR,Negros Occidental,L,142,"291,530","11,718",676,11577,33,31,-2,7,Province,,"2,400,000","3,120",1430,143,8,12000,"26,957,611.00",465,211,14,10.8000000,122.9780000,nir_negrosoccidental
NIR,Negros Oriental,L,142,"175,033","7,130",619,6323,33,19,-14,3,Province,,"2,400,000","3,120",1430,143,8,12000,"18,535,633.00",285,334,22,9.3131444,123.3011085,nir_negrosoriental
NIR,Sagay City,M,84,"38,146","1,565",84,1544,10,3,-7,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"6,433,990.00",45,39,3,10.8781434,123.4166693,nir_sagay
Region I,San Carlos City,M,84,44335,1886,100,1278,10,4,-6,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"6,954,414.00",60,40,3,15.9258241,120.3476878,regioni_sancarlos
NIR,San Carlos City,M,84,"30,103","1,295",78,1177,10,5,-5,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"5,912,345.00",75,3,0,10.4853818,123.4170551,nir_sancarlos
NIR,Silay City,M,84,"28,619","1,178",62,1067,10,4,-6,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"5,667,513.00",60,2,0,10.7965165,122.9742204,nir_silay
NIR,Sipalay City,M,84,"20,178",833,65,787,10,2,-8,2,City,Component City,"2,400,000","3,120",1430,143,8,12000,"5,075,955.00",30,35,2,9.7491304,122.4088443,nir_sipalay
NIR,Siquijor,M,84,"20,243","1,033",104,885,10,5,-5,1,Province,,"2,400,000","3,120",1430,143,8,12000,"5,498,169.00",75,29,2,9.2529195,123.5946295,nir_siquijor
NIR,Tanjay City,S,61,"25,762","1,148",118,1102,0,4,4,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"5,505,482.00",60,58,4,9.5120403,123.1599914,nir_tanjay
NIR,Victorias City,S,61,"22,466",820,32,864,0,2,2,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"4,707,720.00",30,2,0,10.8984987,123.0729747,nir_victorias
