region,division,position_description,category,plantilla_position,personnel_count
National Capital Region (NCR),Division of Manila,Guidance Counselor III,Related-Teaching Personnel,Unfilled,149
National Capital Region (NCR),Central Office/Staff Bureaus/ROs,Senior Education Program Specialist,Related-Teaching Personnel,Filled,138
Region VI - Western Visayas,Division of Iloilo,Guidance Counselor II,Related-Teaching Personnel,Unfilled,97
Region VII - Central Visayas,Division of Cebu Province,Guidance Counselor II,Related-Teaching Personnel,Unfilled,86
Region I - Ilocos,Division of Pangasinan I,Guidance Counselor II,Related-Teaching Personnel,Unfilled,74
Region VIII - Eastern Visayas,Division of Leyte,Guidance Counselor II,Related-Teaching Personnel,Unfilled,68
Negros Island Region (NIR),Division of Negros Occidental,Public Schools District Supervisor,Related-Teaching Personnel,Filled,66
Region III - Central Luzon,Division of Bulacan,Guidance Counselor II,Related-Teaching Personnel,Unfilled,65
Negros Island Region (NIR),Division of Negros Occidental,Guidance Counselor II,Related-Teaching Personnel,Unfilled,63
Negros Island Region (NIR),Division of Negros Oriental,Public Schools District Supervisor,Related-Teaching Personnel,Filled,62
Region III - Central Luzon,Division of Pampanga,Guidance Counselor II,Related-Teaching Personnel,Unfilled,60
Region III - Central Luzon,Division of Nueva Ecija,Guidance Counselor II,Related-Teaching Personnel,Unfilled,59
Region VII - Central Visayas,Division of Cebu Province,Public Schools District Supervisor,Related-Teaching Personnel,Filled,58
Region IVA - CALABARZON,Division of Quezon,Public Schools District Supervisor,Related-Teaching Personnel,Filled,57
Region V - Bicol,Division of Camarines Sur,Public Schools District Supervisor,Related-Teaching Personnel,Filled,57
National Capital Region (NCR),Division of Quezon City,Guidance Counselor II,Related-Teaching Personnel,Unfilled,55
Region VI - Western Visayas,Division of Iloilo,Public Schools District Supervisor,Related-Teaching Personnel,Filled,55
Region V - Bicol,Division of Camarines Sur,Guidance Counselor II,Related-Teaching Personnel,Unfilled,55
National Capital Region (NCR),Central Office/Staff Bureaus/ROs,Supervising Education Program Specialist,Related-Teaching Personnel,Filled,52
Region V - Bicol,Division of Albay,Guidance Counselor II,Related-Teaching Personnel,Unfilled,52
Region VII - Central Visayas,Division of Bohol,Guidance Counselor II,Related-Teaching Personnel,Unfilled,50
Region IVA - CALABARZON,Division of Cavite,Guidance Counselor II,Related-Teaching Personnel,Unfilled,49
Region I - Ilocos,Division of Pangasinan II,Guidance Counselor II,Related-Teaching Personnel,Unfilled,49
National Capital Region (NCR),Central Office/Staff Bureaus/ROs,Education Program Specialist II,Related-Teaching Personnel,Filled,48
Region III - Central Luzon,Division of Tarlac,Guidance Counselor II,Related-Teaching Personnel,Unfilled,47
Region XII - SOCCSKSARGEN,Division of Cotabato,Guidance Counselor II,Related-Teaching Personnel,Unfilled,42
Region VIII - Eastern Visayas,Division of Leyte,Public Schools District Supervisor,Related-Teaching Personnel,Filled,42
Region V - Bicol,Division of Masbate,Guidance Counselor II,Related-Teaching Personnel,Unfilled,41
Region II - Cagayan Valley,Division of Isabela,Guidance Counselor II,Related-Teaching Personnel,Unfilled,40
Region VI - Western Visayas,Division of Capiz,Guidance Counselor II,Related-Teaching Personnel,Unfilled,39
Region VI - Western Visayas,Division of Iloilo,Registrar I,Related-Teaching Personnel,Filled,39
Region II - Cagayan Valley,Division of Cagayan,Guidance Counselor II,Related-Teaching Personnel,Unfilled,39
Region IVB - MIMAROPA,Division of Palawan,Guidance Counselor II,Related-Teaching Personnel,Unfilled,38
Region IVA - CALABARZON,Division of Batangas,Guidance Counselor II,Related-Teaching Personnel,Unfilled,38
National Capital Region (NCR),Central Office/Staff Bureaus/ROs,Senior Education Program Specialist,Related-Teaching Personnel,Unfilled,37
Region X - Northern Mindanao,Division of Bukidnon,Guidance Counselor II,Related-Teaching Personnel,Unfilled,35
Region VI - Western Visayas,Division of Iloilo,Guidance Counselor I,Related-Teaching Personnel,Unfilled,35
Region IVA - CALABARZON,Division of Laguna,Guidance Counselor II,Related-Teaching Personnel,Unfilled,35
Region V - Bicol,Division of Sorsogon,Guidance Counselor II,Related-Teaching Personnel,Unfilled,35
Region V - Bicol,Division of Camarines Sur,Guidance Counselor I,Related-Teaching Personnel,Unfilled,34
Region XII - SOCCSKSARGEN,Division of South Cotabato,Guidance Counselor II,Related-Teaching Personnel,Unfilled,34
Negros Island Region (NIR),Division of Negros Occidental,Registrar I,Related-Teaching Personnel,Filled,34
Region V - Bicol,Division of Masbate,Public Schools District Supervisor,Related-Teaching Personnel,Filled,33
Region V - Bicol,Division of Albay,Public Schools District Supervisor,Related-Teaching Personnel,Filled,33
Region IVA - CALABARZON,Division of Rizal,Public Schools District Supervisor,Related-Teaching Personnel,Filled,33
Region II - Cagayan Valley,Division of Isabela,Public Schools District Supervisor,Related-Teaching Personnel,Filled,33
Region I - Ilocos,Division of Pangasinan I,Public Schools District Supervisor,Related-Teaching Personnel,Filled,33
Region III - Central Luzon,Division of Bulacan,Public Schools District Supervisor,Related-Teaching Personnel,Filled,33
Region III - Central Luzon,Division of Pampanga,Public Schools District Supervisor,Related-Teaching Personnel,Filled,33
Region X - Northern Mindanao,Division of Bukidnon,Public Schools District Supervisor,Related-Teaching Personnel,Filled,33
Region IX - Zamboanga Peninsula,Division of Zamboanga del Norte,Public Schools District Supervisor,Related-Teaching Personnel,Filled,33
National Capital Region (NCR),Division of Quezon City,Public Schools District Supervisor,Related-Teaching Personnel,Filled,33
Region III - Central Luzon,Division of Tarlac,Public Schools District Supervisor,Related-Teaching Personnel,Filled,33
Negros Island Region (NIR),Division of Negros Oriental,Guidance Counselor II,Related-Teaching Personnel,Unfilled,33
National Capital Region (NCR),Division of Manila,Public Schools District Supervisor,Related-Teaching Personnel,Filled,33
Region XI - Davao,Division of Davao City,Public Schools District Supervisor,Related-Teaching Personnel,Filled,33
Region IX - Zamboanga Peninsula,Division of Zamboanga del Sur,Public Schools District Supervisor,Related-Teaching Personnel,Filled,33
Region XI - Davao,Division of Davao de Oro,Guidance Counselor II,Related-Teaching Personnel,Unfilled,33
Region III - Central Luzon,Division of Nueva Ecija,Public Schools District Supervisor,Related-Teaching Personnel,Filled,33
Region II - Cagayan Valley,Division of Cagayan,Public Schools District Supervisor,Related-Teaching Personnel,Filled,33
Region VII - Central Visayas,Division of Bohol,Public Schools District Supervisor,Related-Teaching Personnel,Filled,33
Region I - Ilocos,Division of Pangasinan II,Public Schools District Supervisor,Related-Teaching Personnel,Filled,32
Region IVA - CALABARZON,Division of Rizal,Guidance Counselor II,Related-Teaching Personnel,Unfilled,32
Region XII - SOCCSKSARGEN,Division of Cotabato,Public Schools District Supervisor,Related-Teaching Personnel,Filled,32
National Capital Region (NCR),Division of Caloocan,Public Schools District Supervisor,Related-Teaching Personnel,Filled,32
Region IVA - CALABARZON,Division of Batangas,Public Schools District Supervisor,Related-Teaching Personnel,Filled,32
Region IVA - CALABARZON,Division of Cavite,Public Schools District Supervisor,Related-Teaching Personnel,Filled,32
Region III - Central Luzon,Division of Bulacan,Registrar I,Related-Teaching Personnel,Filled,32
Region VIII - Eastern Visayas,Division of Northern Samar,Guidance Counselor II,Related-Teaching Personnel,Unfilled,31
Region XI - Davao,Division of Davao City,Guidance Counselor II,Related-Teaching Personnel,Unfilled,31
Region IVA - CALABARZON,Division of Laguna,Public Schools District Supervisor,Related-Teaching Personnel,Filled,30
Region I - Ilocos,Division of La Union,Guidance Counselor II,Related-Teaching Personnel,Unfilled,30
Region IVA - CALABARZON,Division of Batangas,Registrar I,Related-Teaching Personnel,Filled,30
Region V - Bicol,Division of Camarines Sur,Guidance Counselor II,Related-Teaching Personnel,Filled,30
Region VII - Central Visayas,Division of Cebu Province,Guidance Counselor I,Related-Teaching Personnel,Unfilled,29
Region VIII - Eastern Visayas,Division of Samar,Guidance Counselor II,Related-Teaching Personnel,Unfilled,29
Region VI - Western Visayas,Division of Antique,Guidance Counselor II,Related-Teaching Personnel,Unfilled,29
Region IVB - MIMAROPA,Division of Palawan,Public Schools District Supervisor,Related-Teaching Personnel,Filled,29
Region IVB - MIMAROPA,Division of Oriental Mindoro,Guidance Counselor II,Related-Teaching Personnel,Unfilled,29
Region XI - Davao,Division of Davao City,Guidance Counselor I,Related-Teaching Personnel,Unfilled,29
Region VI - Western Visayas,Division of Aklan,Guidance Counselor II,Related-Teaching Personnel,Unfilled,28
Region IX - Zamboanga Peninsula,Division of Zamboanga del Sur,Guidance Counselor II,Related-Teaching Personnel,Unfilled,27
Region V - Bicol,Division of Camarines Norte,Guidance Counselor II,Related-Teaching Personnel,Unfilled,27
National Capital Region (NCR),Division of Pasig City,Guidance Counselor II,Related-Teaching Personnel,Unfilled,27
Region III - Central Luzon,Division of Bataan,Guidance Counselor II,Related-Teaching Personnel,Filled,27
Region VIII - Eastern Visayas,Division of Leyte,Registrar I,Related-Teaching Personnel,Filled,26
Region III - Central Luzon,Division of Pampanga,Registrar I,Related-Teaching Personnel,Filled,26
Region I - Ilocos,Division of Pangasinan I,Guidance Counselor I,Related-Teaching Personnel,Unfilled,25
National Capital Region (NCR),Division of Taguig and Pateros,Guidance Counselor II,Related-Teaching Personnel,Unfilled,25
Region XII - SOCCSKSARGEN,Division of General Santos City,Guidance Counselor II,Related-Teaching Personnel,Unfilled,25
Region IX - Zamboanga Peninsula,Division of Zamboanga del Norte,Guidance Counselor II,Related-Teaching Personnel,Unfilled,25
Region XIII - CARAGA,Division of Agusan del Sur,Guidance Counselor II,Related-Teaching Personnel,Unfilled,24
Region IVA - CALABARZON,Division of Quezon,Registrar I,Related-Teaching Personnel,Filled,23
Region VII - Central Visayas,Division of Cebu Province,Registrar I,Related-Teaching Personnel,Filled,23
Region XII - SOCCSKSARGEN,Division of Sultan Kudarat,Guidance Counselor II,Related-Teaching Personnel,Unfilled,23
Region X - Northern Mindanao,Division of Misamis Oriental,Guidance Counselor II,Related-Teaching Personnel,Unfilled,23
Region III - Central Luzon,Division of Zambales,Guidance Counselor II,Related-Teaching Personnel,Unfilled,22
Region XIII - CARAGA,Division of Surigao del Sur,Guidance Counselor II,Related-Teaching Personnel,Unfilled,22
National Capital Region (NCR),Division of Manila,Guidance Counselor II,Related-Teaching Personnel,Unfilled,22
Region VIII - Eastern Visayas,Division of Eastern Samar,Guidance Counselor II,Related-Teaching Personnel,Unfilled,22
National Capital Region (NCR),Division of Quezon City,Guidance Counselor I,Related-Teaching Personnel,Unfilled,21
Region VII - Central Visayas,Division of Cebu City,Guidance Counselor II,Related-Teaching Personnel,Unfilled,21
Region XII - SOCCSKSARGEN,Division of Sarangani,Guidance Counselor II,Related-Teaching Personnel,Unfilled,21
Region I - Ilocos,Division of Ilocos Norte,Guidance Counselor II,Related-Teaching Personnel,Unfilled,21
Region IX - Zamboanga Peninsula,Division of Zamboanga City,Guidance Counselor II,Related-Teaching Personnel,Unfilled,20
Region I - Ilocos,Division of Ilocos Sur,Guidance Counselor II,Related-Teaching Personnel,Unfilled,20
Negros Island Region (NIR),Division of Silay City,Public Schools District Supervisor,Related-Teaching Personnel,Filled,20
Negros Island Region (NIR),Division of Kabankalan City,Public Schools District Supervisor,Related-Teaching Personnel,Filled,20
Negros Island Region (NIR),Division of Himamaylan City,Public Schools District Supervisor,Related-Teaching Personnel,Filled,20
Region III - Central Luzon,Division of Nueva Ecija,Registrar I,Related-Teaching Personnel,Filled,20
Negros Island Region (NIR),Division of San Carlos City,Public Schools District Supervisor,Related-Teaching Personnel,Filled,20
Region IVA - CALABARZON,Division of Rizal,Registrar I,Related-Teaching Personnel,Filled,20
Region IVB - MIMAROPA,Division of Occidental Mindoro,Guidance Counselor II,Related-Teaching Personnel,Unfilled,20
Negros Island Region (NIR),Division of Siquijor,Public Schools District Supervisor,Related-Teaching Personnel,Filled,20
Region XI - Davao,Division of Davao del Sur,Guidance Counselor II,Related-Teaching Personnel,Unfilled,20
Region X - Northern Mindanao,Division of Cagayan de Oro City,Guidance Counselor II,Related-Teaching Personnel,Unfilled,20
Region VIII - Eastern Visayas,Division of Leyte,Guidance Counselor I,Related-Teaching Personnel,Unfilled,20
Region III - Central Luzon,Division of San Jose del Monte City,Guidance Counselor II,Related-Teaching Personnel,Unfilled,19
Region XI - Davao,Division of Davao del Norte,Guidance Counselor II,Related-Teaching Personnel,Unfilled,19
Region IVA - CALABARZON,Division of Quezon,Guidance Counselor III,Related-Teaching Personnel,Filled,19
National Capital Region (NCR),Division of Quezon City,Registrar I,Related-Teaching Personnel,Filled,19
Negros Island Region (NIR),Division of Negros Occidental,Guidance Counselor I,Related-Teaching Personnel,Unfilled,19
Region II - Cagayan Valley,Division of Nueva Vizcaya,Guidance Counselor II,Related-Teaching Personnel,Unfilled,19
National Capital Region (NCR),Central Office/Staff Bureaus/ROs,Education Program Specialist II,Related-Teaching Personnel,Unfilled,19
Region V - Bicol,Division of Catanduanes,Guidance Counselor II,Related-Teaching Personnel,Unfilled,18
Negros Island Region (NIR),Division of Sagay City,Public Schools District Supervisor,Related-Teaching Personnel,Filled,18
Negros Island Region (NIR),Division of Sipalay City,Public Schools District Supervisor,Related-Teaching Personnel,Filled,18
Region IVA - CALABARZON,Division of Cavite,Registrar I,Related-Teaching Personnel,Filled,18
Negros Island Region (NIR),Division of Cadiz City,Public Schools District Supervisor,Related-Teaching Personnel,Filled,18
Region IVA - CALABARZON,Division of Rizal,Guidance Counselor I,Related-Teaching Personnel,Unfilled,18
Region XII - SOCCSKSARGEN,Division of Cotabato,Registrar I,Related-Teaching Personnel,Filled,18
Negros Island Region (NIR),Division of Negros Oriental,Registrar I,Related-Teaching Personnel,Filled,18
Region I - Ilocos,Division of Pangasinan II,Registrar I,Related-Teaching Personnel,Filled,17
Region VIII - Eastern Visayas,Division of Leyte,Guidance Counselor I,Related-Teaching Personnel,Filled,17
Region III - Central Luzon,Division of Tarlac,Registrar I,Related-Teaching Personnel,Filled,17
Region IVA - CALABARZON,Division of Antipolo City,Guidance Counselor II,Related-Teaching Personnel,Unfilled,17
Region V - Bicol,Division of Camarines Sur,Registrar I,Related-Teaching Personnel,Filled,17
Region IVB - MIMAROPA,Division of Romblon,Guidance Counselor II,Related-Teaching Personnel,Unfilled,17
Region X - Northern Mindanao,Division of Lanao del Norte,Guidance Counselor II,Related-Teaching Personnel,Unfilled,17
Region II - Cagayan Valley,Division of Cagayan,Guidance Counselor III,Related-Teaching Personnel,Filled,16
Negros Island Region (NIR),Division of Negros Occidental,Education Program Specialist II,Related-Teaching Personnel,Filled,16
Region III - Central Luzon,Division of Nueva Ecija,Guidance Coordinator III,Related-Teaching Personnel,Filled,16
National Capital Region (NCR),Division of Marikina,Guidance Counselor II,Related-Teaching Personnel,Unfilled,16
Region I - Ilocos,Division of Pangasinan I,Registrar I,Related-Teaching Personnel,Filled,16
Region X - Northern Mindanao,Division of Bukidnon,Guidance Counselor I,Related-Teaching Personnel,Unfilled,16
National Capital Region (NCR),Division of Parañaque,Guidance Counselor II,Related-Teaching Personnel,Unfilled,16
Region VII - Central Visayas,Division of Cebu Province,Guidance Coordinator III,Related-Teaching Personnel,Filled,16
Region X - Northern Mindanao,Division of Misamis Oriental,Public Schools District Supervisor,Related-Teaching Personnel,Filled,16
Region XI - Davao,Division of Davao City,Guidance Counselor II,Related-Teaching Personnel,Filled,16
Region V - Bicol,Division of Sorsogon,Registrar I,Related-Teaching Personnel,Filled,16
Region XI - Davao,Division of Mati City,Guidance Counselor II,Related-Teaching Personnel,Unfilled,15
Region III - Central Luzon,Division of Pampanga,Guidance Counselor I,Related-Teaching Personnel,Unfilled,15
Region VI - Western Visayas,Division of Capiz,Registrar I,Related-Teaching Personnel,Filled,15
Region V - Bicol,Division of Albay,Registrar I,Related-Teaching Personnel,Filled,15
Region IVA - CALABARZON,Division of Dasmariñas City,Guidance Counselor II,Related-Teaching Personnel,Unfilled,15
Region IX - Zamboanga Peninsula,Division of Zamboanga del Norte,Registrar I,Related-Teaching Personnel,Filled,15
Region II - Cagayan Valley,Division of Isabela,Registrar I,Related-Teaching Personnel,Filled,14
Region XIII - CARAGA,Division of Surigao del Norte,Guidance Counselor II,Related-Teaching Personnel,Unfilled,14
Negros Island Region (NIR),Division of Bacolod City,Guidance Counselor II,Related-Teaching Personnel,Unfilled,14
Region X - Northern Mindanao,Division of Iligan City,Guidance Counselor II,Related-Teaching Personnel,Unfilled,14
Region IVA - CALABARZON,Division of Laguna,Registrar I,Related-Teaching Personnel,Filled,14
National Capital Region (NCR),Division of Makati,Guidance Counselor II,Related-Teaching Personnel,Unfilled,14
Region IX - Zamboanga Peninsula,Division of Zamboanga del Sur,Registrar I,Related-Teaching Personnel,Filled,14
Negros Island Region (NIR),Division of Negros Occidental,Guidance Counselor I,Related-Teaching Personnel,Filled,14
Region III - Central Luzon,Division of Bataan,Registrar I,Related-Teaching Personnel,Filled,14
Negros Island Region (NIR),Division of Negros Oriental,Education Program Specialist II,Related-Teaching Personnel,Filled,14
Region VII - Central Visayas,Division of Lapu-lapu City,Guidance Counselor II,Related-Teaching Personnel,Unfilled,13
Region VI - Western Visayas,Division of Iloilo,Guidance Counselor III,Related-Teaching Personnel,Filled,13
Region II - Cagayan Valley,Division of Cagayan,School Librarian III,Related-Teaching Personnel,Filled,13
Region VIII - Eastern Visayas,Division of Southern Leyte,Guidance Counselor II,Related-Teaching Personnel,Unfilled,13
Region V - Bicol,Division of Albay,Guidance Counselor I,Related-Teaching Personnel,Unfilled,13
Region XI - Davao,Division of Davao City,Registrar I,Related-Teaching Personnel,Filled,13
Region XII - SOCCSKSARGEN,Division of General Santos City,Guidance Counselor I,Related-Teaching Personnel,Unfilled,13
Region II - Cagayan Valley,Division of Cagayan,Registrar I,Related-Teaching Personnel,Filled,13
Region VI - Western Visayas,Division of Iloilo City,Guidance Counselor II,Related-Teaching Personnel,Unfilled,13
Region III - Central Luzon,Division of Bulacan,Guidance Counselor I,Related-Teaching Personnel,Unfilled,13
Region X - Northern Mindanao,Division of Misamis Occidental,Guidance Counselor II,Related-Teaching Personnel,Unfilled,12
Region VII - Central Visayas,Division of Cebu Province,Education Program Specialist II,Related-Teaching Personnel,Filled,12
Region II - Cagayan Valley,Division of Isabela,Guidance Counselor III,Related-Teaching Personnel,Filled,12
Region IVA - CALABARZON,Division of Quezon,Education Program Specialist II,Related-Teaching Personnel,Filled,12
National Capital Region (NCR),Division of Manila,Registrar I,Related-Teaching Personnel,Filled,12
Region II - Cagayan Valley,Division of Isabela,Guidance Counselor I,Related-Teaching Personnel,Unfilled,12
Region IVB - MIMAROPA,Division of Puerto Princesa City,Guidance Counselor II,Related-Teaching Personnel,Unfilled,12
Region VIII - Eastern Visayas,Division of Samar,Public Schools District Supervisor,Related-Teaching Personnel,Filled,12
Region XIII - CARAGA,Division of Butuan City,Guidance Counselor II,Related-Teaching Personnel,Unfilled,12
Region V - Bicol,Division of Sorsogon,Public Schools District Supervisor,Related-Teaching Personnel,Filled,12
Region IVB - MIMAROPA,Division of Palawan,Registrar I,Related-Teaching Personnel,Filled,12
National Capital Region (NCR),Division of Pasay City,Guidance Counselor II,Related-Teaching Personnel,Unfilled,12
Region IVB - MIMAROPA,Division of Oriental Mindoro,Public Schools District Supervisor,Related-Teaching Personnel,Filled,11
Region IVA - CALABARZON,Division of Cavite,Guidance Counselor III,Related-Teaching Personnel,Unfilled,11
Region X - Northern Mindanao,Division of Lanao del Norte,Public Schools District Supervisor,Related-Teaching Personnel,Filled,11
Region V - Bicol,Division of Catanduanes,Public Schools District Supervisor,Related-Teaching Personnel,Filled,11
Region VIII - Eastern Visayas,Division of Biliran,Guidance Counselor II,Related-Teaching Personnel,Unfilled,11
Region V - Bicol,Division of Camarines Norte,Guidance Counselor I,Related-Teaching Personnel,Unfilled,11
Region VIII - Eastern Visayas,Division of Northern Samar,Guidance Counselor I,Related-Teaching Personnel,Unfilled,11
Region IVA - CALABARZON,Division of San Pedro City,Public Schools District Supervisor,Related-Teaching Personnel,Filled,11
Region IVB - MIMAROPA,Division of Marinduque,Guidance Counselor II,Related-Teaching Personnel,Unfilled,11
Region V - Bicol,Division of Naga City,Guidance Counselor II,Related-Teaching Personnel,Filled,11
Region V - Bicol,Division of Masbate,Guidance Counselor I,Related-Teaching Personnel,Unfilled,11
National Capital Region (NCR),Division of Mandaluyong,Guidance Counselor II,Related-Teaching Personnel,Unfilled,11
Region X - Northern Mindanao,Division of Bukidnon,Registrar I,Related-Teaching Personnel,Filled,11
National Capital Region (NCR),Division of Taguig and Pateros,Registrar I,Related-Teaching Personnel,Filled,11
Region IX - Zamboanga Peninsula,Division of Zamboanga Sibugay,Registrar I,Related-Teaching Personnel,Filled,11
Region IX - Zamboanga Peninsula,Division of Zamboanga del Norte,Guidance Counselor I,Related-Teaching Personnel,Unfilled,11
Region IVA - CALABARZON,Division of Cabuyao City,Public Schools District Supervisor,Related-Teaching Personnel,Filled,11
Region V - Bicol,Division of Camarines Sur,Education Program Specialist II,Related-Teaching Personnel,Filled,11
Region VI - Western Visayas,Division of Iloilo,Education Program Specialist II,Related-Teaching Personnel,Filled,11
Region VIII - Eastern Visayas,Division of Eastern Samar,Public Schools District Supervisor,Related-Teaching Personnel,Filled,11
Negros Island Region (NIR),Division of Sipalay City,Education Program Specialist II,Related-Teaching Personnel,Filled,10
Region XIII - CARAGA,Division of Siargao,Public Schools District Supervisor,Related-Teaching Personnel,Filled,10
Region X - Northern Mindanao,Division of Valencia City,Public Schools District Supervisor,Related-Teaching Personnel,Filled,10
Region IVB - MIMAROPA,Division of Calapan City,Public Schools District Supervisor,Related-Teaching Personnel,Filled,10
National Capital Region (NCR),Division of Valenzuela,Public Schools District Supervisor,Related-Teaching Personnel,Filled,10
Region XII - SOCCSKSARGEN,Division of Koronadal City,Public Schools District Supervisor,Related-Teaching Personnel,Filled,10
Region X - Northern Mindanao,Division of Cagayan de Oro City,Public Schools District Supervisor,Related-Teaching Personnel,Filled,10
Cordillera Administrative Region (CAR),Division of Ifugao,Public Schools District Supervisor,Related-Teaching Personnel,Filled,10
Region IVA - CALABARZON,Division of Rizal,Guidance Counselor I,Related-Teaching Personnel,Filled,10
Region XIII - CARAGA,Division of Agusan del Norte,Public Schools District Supervisor,Related-Teaching Personnel,Filled,10
Region III - Central Luzon,Division of Angeles City,Guidance Counselor II,Related-Teaching Personnel,Unfilled,10
Region III - Central Luzon,Division of Angeles City,Public Schools District Supervisor,Related-Teaching Personnel,Filled,10
Negros Island Region (NIR),Division of Negros Occidental,Guidance Counselor III,Related-Teaching Personnel,Filled,10
Cordillera Administrative Region (CAR),Division of Abra,Public Schools District Supervisor,Related-Teaching Personnel,Filled,10
Region X - Northern Mindanao,Division of Gingoog City,Public Schools District Supervisor,Related-Teaching Personnel,Filled,10
National Capital Region (NCR),Division of Makati,Public Schools District Supervisor,Related-Teaching Personnel,Filled,10
Region XIII - CARAGA,Division of Surigao City,Public Schools District Supervisor,Related-Teaching Personnel,Filled,10
Region III - Central Luzon,Division of Bataan,Public Schools District Supervisor,Related-Teaching Personnel,Filled,10
Region IVA - CALABARZON,Division of Tanauan City,Public Schools District Supervisor,Related-Teaching Personnel,Filled,10
Region V - Bicol,Division of Sorsogon City,Guidance Counselor II,Related-Teaching Personnel,Unfilled,10
Region X - Northern Mindanao,Division of Iligan City,Public Schools District Supervisor,Related-Teaching Personnel,Filled,10
Region V - Bicol,Division of Sorsogon City,Public Schools District Supervisor,Related-Teaching Personnel,Filled,10
Region III - Central Luzon,Division of Aurora,Public Schools District Supervisor,Related-Teaching Personnel,Filled,10
Region III - Central Luzon,Division of Baliwag City,Public Schools District Supervisor,Related-Teaching Personnel,Filled,10
Region IVA - CALABARZON,Division of Sto. Tomas City,Public Schools District Supervisor,Related-Teaching Personnel,Filled,10
Region X - Northern Mindanao,Division of Misamis Oriental,Registrar I,Related-Teaching Personnel,Filled,10
Region IVA - CALABARZON,Division of San Pablo City,Public Schools District Supervisor,Related-Teaching Personnel,Filled,10
Region IVA - CALABARZON,Division of Antipolo City,Public Schools District Supervisor,Related-Teaching Personnel,Filled,10
Region X - Northern Mindanao,Division of Malaybalay City,Guidance Counselor II,Related-Teaching Personnel,Unfilled,10
Region X - Northern Mindanao,Division of Malaybalay City,Public Schools District Supervisor,Related-Teaching Personnel,Filled,10
Region IVA - CALABARZON,Division of Sta. Rosa City,Public Schools District Supervisor,Related-Teaching Personnel,Filled,10
Region X - Northern Mindanao,Division of Misamis Occidental,Public Schools District Supervisor,Related-Teaching Personnel,Filled,10
Region XII - SOCCSKSARGEN,Division of Kidapawan City,Public Schools District Supervisor,Related-Teaching Personnel,Filled,10
Cordillera Administrative Region (CAR),Division of Tabuk City,Public Schools District Supervisor,Related-Teaching Personnel,Filled,10
Region XIII - CARAGA,Division of Surigao del Norte,Public Schools District Supervisor,Related-Teaching Personnel,Filled,10
Region IX - Zamboanga Peninsula,Division of Zamboanga Sibugay,Public Schools District Supervisor,Related-Teaching Personnel,Filled,10
Region XII - SOCCSKSARGEN,Division of Sultan Kudarat,Public Schools District Supervisor,Related-Teaching Personnel,Filled,10
Negros Island Region (NIR),Division of Kabankalan City,Education Program Specialist II,Related-Teaching Personnel,Filled,10
Cordillera Administrative Region (CAR),Division of Kalinga,Public Schools District Supervisor,Related-Teaching Personnel,Filled,10
Region XIII - CARAGA,Division of Surigao del Sur,Public Schools District Supervisor,Related-Teaching Personnel,Filled,10
Region XII - SOCCSKSARGEN,Division of General Santos City,Public Schools District Supervisor,Related-Teaching Personnel,Filled,10
Region III - Central Luzon,Division of Zambales,Public Schools District Supervisor,Related-Teaching Personnel,Filled,10
Negros Island Region (NIR),Division of Himamaylan City,Education Program Specialist II,Related-Teaching Personnel,Filled,10
Region VI - Western Visayas,Division of Capiz,Public Schools District Supervisor,Related-Teaching Personnel,Filled,10
National Capital Region (NCR),Central Office/Staff Bureaus/ROs,Chief Education Program Specialist,Related-Teaching Personnel,Filled,10
Region IX - Zamboanga Peninsula,Division of Zamboanga Sibugay,Guidance Counselor II,Related-Teaching Personnel,Unfilled,10
Region XIII - CARAGA,Division of Agusan del Sur,Public Schools District Supervisor,Related-Teaching Personnel,Filled,10
Region I - Ilocos,Division of La Union,Registrar I,Related-Teaching Personnel,Filled,10
Region VI - Western Visayas,Division of Guimaras,Public Schools District Supervisor,Related-Teaching Personnel,Filled,10
Region IX - Zamboanga Peninsula,Division of Zamboanga Sibugay,Guidance Counselor I,Related-Teaching Personnel,Unfilled,10
Region I - Ilocos,Division of La Union,Guidance Counselor I,Related-Teaching Personnel,Unfilled,10
Region VI - Western Visayas,Division of Antique,Public Schools District Supervisor,Related-Teaching Personnel,Filled,10
Region I - Ilocos,Division of Urdaneta City,Public Schools District Supervisor,Related-Teaching Personnel,Filled,10
National Capital Region (NCR),Division of Pasig City,Public Schools District Supervisor,Related-Teaching Personnel,Filled,10
Region V - Bicol,Division of Ligao City,Public Schools District Supervisor,Related-Teaching Personnel,Filled,10
Region VI - Western Visayas,Division of Aklan,Public Schools District Supervisor,Related-Teaching Personnel,Filled,10
Region XI - Davao,Division of Tagum City,Public Schools District Supervisor,Related-Teaching Personnel,Filled,10
Region VI - Western Visayas,Division of Roxas City,Public Schools District Supervisor,Related-Teaching Personnel,Filled,10
Region III - Central Luzon,Division of San Fernando City,Public Schools District Supervisor,Related-Teaching Personnel,Filled,10
Region XI - Davao,Division of Panabo City,Public Schools District Supervisor,Related-Teaching Personnel,Filled,10
Cordillera Administrative Region (CAR),Division of Benguet,Public Schools District Supervisor,Related-Teaching Personnel,Filled,10
National Capital Region (NCR),Division of Navotas City,Public Schools District Supervisor,Related-Teaching Personnel,Filled,10
Region IVA - CALABARZON,Division of Dasmariñas City,Public Schools District Supervisor,Related-Teaching Personnel,Filled,10
Region IX - Zamboanga Peninsula,Division of Zamboanga City,Public Schools District Supervisor,Related-Teaching Personnel,Filled,10
