region,division,position,classification,status,number
Region IX - Zamboanga Peninsula,Division of Zamboanga Sibugay,Head Teacher I,School Head Positions,Filled,249
Region IX - Zamboanga Peninsula,Division of Zamboanga Sibugay,Head Teacher II,School Head Positions,Filled,149
Region IX - Zamboanga Peninsula,Division of Zamboanga Sibugay,Head Teacher III,School Head Positions,Filled,86
Region IX - Zamboanga Peninsula,Division of Zamboanga Sibugay,Head Teacher IV,School Head Positions,Filled,40
Region IX - Zamboanga Peninsula,Division of Zamboanga Sibugay,Head Teacher V,School Head Positions,Filled,32
Region IX - Zamboanga Peninsula,Division of Zamboanga Sibugay,Head Teacher VI,School Head Positions,Filled,7
Region IX - Zamboanga Peninsula,Division of Zamboanga Sibugay,School Principal I,School Head Positions,Filled,62
Region IX - Zamboanga Peninsula,Division of Zamboanga Sibugay,School Principal II,School Head Positions,Filled,56
Region IX - Zamboanga Peninsula,Division of Zamboanga Sibugay,School Principal III,School Head Positions,Filled,40
Region IX - Zamboanga Peninsula,Division of Zamboanga Sibugay,School Principal IV,School Head Positions,Filled,59
Region IX - Zamboanga Peninsula,Division of Zamboanga Sibugay,Assistant School Principal I,School Head Positions,Filled,0
Region IX - Zamboanga Peninsula,Division of Zamboanga Sibugay,Assistant School Principal II,School Head Positions,Filled,4
Region IX - Zamboanga Peninsula,Division of Zamboanga Sibugay,Assistant School Principal III,School Head Positions,Filled,1
Region IX - Zamboanga Peninsula,Division of Zamboanga Sibugay,Special School Principal I,School Head Positions,Filled,0
Region IX - Zamboanga Peninsula,Division of Zamboanga Sibugay,Special School Principal II,School Head Positions,Filled,0
Region IX - Zamboanga Peninsula,Division of Zamboanga Sibugay,Assistant Special School Principal I,School Head Positions,Filled,0
Region IX - Zamboanga Peninsula,Division of Zamboanga Sibugay,Head Teacher I,School Head Positions,Unfilled,26
Region IX - Zamboanga Peninsula,Division of Zamboanga Sibugay,Head Teacher II,School Head Positions,Unfilled,13
Region IX - Zamboanga Peninsula,Division of Zamboanga Sibugay,Head Teacher III,School Head Positions,Unfilled,6
Region IX - Zamboanga Peninsula,Division of Zamboanga Sibugay,Head Teacher IV,School Head Positions,Unfilled,5
Region IX - Zamboanga Peninsula,Division of Zamboanga Sibugay,Head Teacher V,School Head Positions,Unfilled,1
Region IX - Zamboanga Peninsula,Division of Zamboanga Sibugay,Head Teacher VI,School Head Positions,Unfilled,0
Region IX - Zamboanga Peninsula,Division of Zamboanga Sibugay,School Principal I,School Head Positions,Unfilled,1
Region IX - Zamboanga Peninsula,Division of Zamboanga Sibugay,School Principal II,School Head Positions,Unfilled,4
Region IX - Zamboanga Peninsula,Division of Zamboanga Sibugay,School Principal III,School Head Positions,Unfilled,3
Region IX - Zamboanga Peninsula,Division of Zamboanga Sibugay,School Principal IV,School Head Positions,Unfilled,0
Region IX - Zamboanga Peninsula,Division of Zamboanga Sibugay,Assistant School Principal I,School Head Positions,Unfilled,0
Region IX - Zamboanga Peninsula,Division of Zamboanga Sibugay,Assistant School Principal II,School Head Positions,Unfilled,3
Region IX - Zamboanga Peninsula,Division of Zamboanga Sibugay,Assistant School Principal III,School Head Positions,Unfilled,1
Region IX - Zamboanga Peninsula,Division of Zamboanga Sibugay,Special School Principal I,School Head Positions,Unfilled,0
Region IX - Zamboanga Peninsula,Division of Zamboanga Sibugay,Special School Principal II,School Head Positions,Unfilled,0
Region IX - Zamboanga Peninsula,Division of Zamboanga Sibugay,Assistant Special School Principal I,School Head Positions,Unfilled,0
Region IX - Zamboanga Peninsula,Division of Zamboanga del Sur,Head Teacher I,School Head Positions,Filled,255
Region IX - Zamboanga Peninsula,Division of Zamboanga del Sur,Head Teacher II,School Head Positions,Filled,150
Region IX - Zamboanga Peninsula,Division of Zamboanga del Sur,Head Teacher III,School Head Positions,Filled,109
Region IX - Zamboanga Peninsula,Division of Zamboanga del Sur,Head Teacher IV,School Head Positions,Filled,72
Region IX - Zamboanga Peninsula,Division of Zamboanga del Sur,Head Teacher V,School Head Positions,Filled,53
Region IX - Zamboanga Peninsula,Division of Zamboanga del Sur,Head Teacher VI,School Head Positions,Filled,3
Region IX - Zamboanga Peninsula,Division of Zamboanga del Sur,School Principal I,School Head Positions,Filled,103
Region IX - Zamboanga Peninsula,Division of Zamboanga del Sur,School Principal II,School Head Positions,Filled,94
Region IX - Zamboanga Peninsula,Division of Zamboanga del Sur,School Principal III,School Head Positions,Filled,65
Region IX - Zamboanga Peninsula,Division of Zamboanga del Sur,School Principal IV,School Head Positions,Filled,36
Region IX - Zamboanga Peninsula,Division of Zamboanga del Sur,Assistant School Principal I,School Head Positions,Filled,0
Region IX - Zamboanga Peninsula,Division of Zamboanga del Sur,Assistant School Principal II,School Head Positions,Filled,5
Region IX - Zamboanga Peninsula,Division of Zamboanga del Sur,Assistant School Principal III,School Head Positions,Filled,0
Region IX - Zamboanga Peninsula,Division of Zamboanga del Sur,Special School Principal I,School Head Positions,Filled,0
Region IX - Zamboanga Peninsula,Division of Zamboanga del Sur,Special School Principal II,School Head Positions,Filled,0
Region IX - Zamboanga Peninsula,Division of Zamboanga del Sur,Assistant Special School Principal I,School Head Positions,Filled,0
Region IX - Zamboanga Peninsula,Division of Zamboanga del Sur,Head Teacher I,School Head Positions,Unfilled,26
Region IX - Zamboanga Peninsula,Division of Zamboanga del Sur,Head Teacher II,School Head Positions,Unfilled,15
Region IX - Zamboanga Peninsula,Division of Zamboanga del Sur,Head Teacher III,School Head Positions,Unfilled,10
Region IX - Zamboanga Peninsula,Division of Zamboanga del Sur,Head Teacher IV,School Head Positions,Unfilled,4
Region IX - Zamboanga Peninsula,Division of Zamboanga del Sur,Head Teacher V,School Head Positions,Unfilled,0
Region IX - Zamboanga Peninsula,Division of Zamboanga del Sur,Head Teacher VI,School Head Positions,Unfilled,0
Region IX - Zamboanga Peninsula,Division of Zamboanga del Sur,School Principal I,School Head Positions,Unfilled,6
Region IX - Zamboanga Peninsula,Division of Zamboanga del Sur,School Principal II,School Head Positions,Unfilled,2
Region IX - Zamboanga Peninsula,Division of Zamboanga del Sur,School Principal III,School Head Positions,Unfilled,1
Region IX - Zamboanga Peninsula,Division of Zamboanga del Sur,School Principal IV,School Head Positions,Unfilled,0
Region IX - Zamboanga Peninsula,Division of Zamboanga del Sur,Assistant School Principal I,School Head Positions,Unfilled,0
Region IX - Zamboanga Peninsula,Division of Zamboanga del Sur,Assistant School Principal II,School Head Positions,Unfilled,0
Region IX - Zamboanga Peninsula,Division of Zamboanga del Sur,Assistant School Principal III,School Head Positions,Unfilled,0
Region IX - Zamboanga Peninsula,Division of Zamboanga del Sur,Special School Principal I,School Head Positions,Unfilled,0
Region IX - Zamboanga Peninsula,Division of Zamboanga del Sur,Special School Principal II,School Head Positions,Unfilled,0
Region IX - Zamboanga Peninsula,Division of Zamboanga del Sur,Assistant Special School Principal I,School Head Positions,Unfilled,0
Region IX - Zamboanga Peninsula,Division of Zamboanga del Norte,Head Teacher I,School Head Positions,Filled,340
Region IX - Zamboanga Peninsula,Division of Zamboanga del Norte,Head Teacher II,School Head Positions,Filled,154
Region IX - Zamboanga Peninsula,Division of Zamboanga del Norte,Head Teacher III,School Head Positions,Filled,82
Region IX - Zamboanga Peninsula,Division of Zamboanga del Norte,Head Teacher IV,School Head Positions,Filled,31
Region IX - Zamboanga Peninsula,Division of Zamboanga del Norte,Head Teacher V,School Head Positions,Filled,21
Region IX - Zamboanga Peninsula,Division of Zamboanga del Norte,Head Teacher VI,School Head Positions,Filled,5
Region IX - Zamboanga Peninsula,Division of Zamboanga del Norte,School Principal I,School Head Positions,Filled,124
Region IX - Zamboanga Peninsula,Division of Zamboanga del Norte,School Principal II,School Head Positions,Filled,62
Region IX - Zamboanga Peninsula,Division of Zamboanga del Norte,School Principal III,School Head Positions,Filled,38
Region IX - Zamboanga Peninsula,Division of Zamboanga del Norte,School Principal IV,School Head Positions,Filled,39
Region IX - Zamboanga Peninsula,Division of Zamboanga del Norte,Assistant School Principal I,School Head Positions,Filled,0
Region IX - Zamboanga Peninsula,Division of Zamboanga del Norte,Assistant School Principal II,School Head Positions,Filled,11
Region IX - Zamboanga Peninsula,Division of Zamboanga del Norte,Assistant School Principal III,School Head Positions,Filled,0
Region IX - Zamboanga Peninsula,Division of Zamboanga del Norte,Special School Principal I,School Head Positions,Filled,0
Region IX - Zamboanga Peninsula,Division of Zamboanga del Norte,Special School Principal II,School Head Positions,Filled,0
Region IX - Zamboanga Peninsula,Division of Zamboanga del Norte,Assistant Special School Principal I,School Head Positions,Filled,0
Region IX - Zamboanga Peninsula,Division of Zamboanga del Norte,Head Teacher I,School Head Positions,Unfilled,21
Region IX - Zamboanga Peninsula,Division of Zamboanga del Norte,Head Teacher II,School Head Positions,Unfilled,18
Region IX - Zamboanga Peninsula,Division of Zamboanga del Norte,Head Teacher III,School Head Positions,Unfilled,10
Region IX - Zamboanga Peninsula,Division of Zamboanga del Norte,Head Teacher IV,School Head Positions,Unfilled,2
Region IX - Zamboanga Peninsula,Division of Zamboanga del Norte,Head Teacher V,School Head Positions,Unfilled,3
Region IX - Zamboanga Peninsula,Division of Zamboanga del Norte,Head Teacher VI,School Head Positions,Unfilled,1
Region IX - Zamboanga Peninsula,Division of Zamboanga del Norte,School Principal I,School Head Positions,Unfilled,9
Region IX - Zamboanga Peninsula,Division of Zamboanga del Norte,School Principal II,School Head Positions,Unfilled,4
Region IX - Zamboanga Peninsula,Division of Zamboanga del Norte,School Principal III,School Head Positions,Unfilled,4
Region IX - Zamboanga Peninsula,Division of Zamboanga del Norte,School Principal IV,School Head Positions,Unfilled,0
Region IX - Zamboanga Peninsula,Division of Zamboanga del Norte,Assistant School Principal I,School Head Positions,Unfilled,0
Region IX - Zamboanga Peninsula,Division of Zamboanga del Norte,Assistant School Principal II,School Head Positions,Unfilled,0
Region IX - Zamboanga Peninsula,Division of Zamboanga del Norte,Assistant School Principal III,School Head Positions,Unfilled,0
Region IX - Zamboanga Peninsula,Division of Zamboanga del Norte,Special School Principal I,School Head Positions,Unfilled,0
Region IX - Zamboanga Peninsula,Division of Zamboanga del Norte,Special School Principal II,School Head Positions,Unfilled,0
Region IX - Zamboanga Peninsula,Division of Zamboanga del Norte,Assistant Special School Principal I,School Head Positions,Unfilled,0
Region IX - Zamboanga Peninsula,Division of Zamboanga City,Head Teacher I,School Head Positions,Filled,71
Region IX - Zamboanga Peninsula,Division of Zamboanga City,Head Teacher II,School Head Positions,Filled,37
Region IX - Zamboanga Peninsula,Division of Zamboanga City,Head Teacher III,School Head Positions,Filled,19
Region IX - Zamboanga Peninsula,Division of Zamboanga City,Head Teacher IV,School Head Positions,Filled,7
Region IX - Zamboanga Peninsula,Division of Zamboanga City,Head Teacher V,School Head Positions,Filled,6
Region IX - Zamboanga Peninsula,Division of Zamboanga City,Head Teacher VI,School Head Positions,Filled,10
Region IX - Zamboanga Peninsula,Division of Zamboanga City,School Principal I,School Head Positions,Filled,80
Region IX - Zamboanga Peninsula,Division of Zamboanga City,School Principal II,School Head Positions,Filled,31
Region IX - Zamboanga Peninsula,Division of Zamboanga City,School Principal III,School Head Positions,Filled,17
Region IX - Zamboanga Peninsula,Division of Zamboanga City,School Principal IV,School Head Positions,Filled,23
Region IX - Zamboanga Peninsula,Division of Zamboanga City,Assistant School Principal I,School Head Positions,Filled,0
Region IX - Zamboanga Peninsula,Division of Zamboanga City,Assistant School Principal II,School Head Positions,Filled,5
Region IX - Zamboanga Peninsula,Division of Zamboanga City,Assistant School Principal III,School Head Positions,Filled,0
Region IX - Zamboanga Peninsula,Division of Zamboanga City,Special School Principal I,School Head Positions,Filled,0
Region IX - Zamboanga Peninsula,Division of Zamboanga City,Special School Principal II,School Head Positions,Filled,0
Region IX - Zamboanga Peninsula,Division of Zamboanga City,Assistant Special School Principal I,School Head Positions,Filled,0
Region IX - Zamboanga Peninsula,Division of Zamboanga City,Head Teacher I,School Head Positions,Unfilled,14
Region IX - Zamboanga Peninsula,Division of Zamboanga City,Head Teacher II,School Head Positions,Unfilled,6
Region IX - Zamboanga Peninsula,Division of Zamboanga City,Head Teacher III,School Head Positions,Unfilled,8
Region IX - Zamboanga Peninsula,Division of Zamboanga City,Head Teacher IV,School Head Positions,Unfilled,3
Region IX - Zamboanga Peninsula,Division of Zamboanga City,Head Teacher V,School Head Positions,Unfilled,4
Region IX - Zamboanga Peninsula,Division of Zamboanga City,Head Teacher VI,School Head Positions,Unfilled,1
Region IX - Zamboanga Peninsula,Division of Zamboanga City,School Principal I,School Head Positions,Unfilled,4
Region IX - Zamboanga Peninsula,Division of Zamboanga City,School Principal II,School Head Positions,Unfilled,6
Region IX - Zamboanga Peninsula,Division of Zamboanga City,School Principal III,School Head Positions,Unfilled,1
Region IX - Zamboanga Peninsula,Division of Zamboanga City,School Principal IV,School Head Positions,Unfilled,0
Region IX - Zamboanga Peninsula,Division of Zamboanga City,Assistant School Principal I,School Head Positions,Unfilled,0
Region IX - Zamboanga Peninsula,Division of Zamboanga City,Assistant School Principal II,School Head Positions,Unfilled,0
Region IX - Zamboanga Peninsula,Division of Zamboanga City,Assistant School Principal III,School Head Positions,Unfilled,0
Region IX - Zamboanga Peninsula,Division of Zamboanga City,Special School Principal I,School Head Positions,Unfilled,0
Region IX - Zamboanga Peninsula,Division of Zamboanga City,Special School Principal II,School Head Positions,Unfilled,0
Region IX - Zamboanga Peninsula,Division of Zamboanga City,Assistant Special School Principal I,School Head Positions,Unfilled,0
Region III - Central Luzon,Division of Zambales,Head Teacher I,School Head Positions,Filled,20
Region III - Central Luzon,Division of Zambales,Head Teacher II,School Head Positions,Filled,7
Region III - Central Luzon,Division of Zambales,Head Teacher III,School Head Positions,Filled,124
Region III - Central Luzon,Division of Zambales,Head Teacher IV,School Head Positions,Filled,0
Region III - Central Luzon,Division of Zambales,Head Teacher V,School Head Positions,Filled,1
Region III - Central Luzon,Division of Zambales,Head Teacher VI,School Head Positions,Filled,1
Region III - Central Luzon,Division of Zambales,School Principal I,School Head Positions,Filled,93
Region III - Central Luzon,Division of Zambales,School Principal II,School Head Positions,Filled,56
Region III - Central Luzon,Division of Zambales,School Principal III,School Head Positions,Filled,28
Region III - Central Luzon,Division of Zambales,School Principal IV,School Head Positions,Filled,29
Region III - Central Luzon,Division of Zambales,Assistant School Principal I,School Head Positions,Filled,0
Region III - Central Luzon,Division of Zambales,Assistant School Principal II,School Head Positions,Filled,9
Region III - Central Luzon,Division of Zambales,Assistant School Principal III,School Head Positions,Filled,0
Region III - Central Luzon,Division of Zambales,Special School Principal I,School Head Positions,Filled,0
Region III - Central Luzon,Division of Zambales,Special School Principal II,School Head Positions,Filled,0
Region III - Central Luzon,Division of Zambales,Assistant Special School Principal I,School Head Positions,Filled,0
Region III - Central Luzon,Division of Zambales,Head Teacher I,School Head Positions,Unfilled,4
Region III - Central Luzon,Division of Zambales,Head Teacher II,School Head Positions,Unfilled,5
Region III - Central Luzon,Division of Zambales,Head Teacher III,School Head Positions,Unfilled,2
Region III - Central Luzon,Division of Zambales,Head Teacher IV,School Head Positions,Unfilled,0
Region III - Central Luzon,Division of Zambales,Head Teacher V,School Head Positions,Unfilled,0
Region III - Central Luzon,Division of Zambales,Head Teacher VI,School Head Positions,Unfilled,0
Region III - Central Luzon,Division of Zambales,School Principal I,School Head Positions,Unfilled,6
Region III - Central Luzon,Division of Zambales,School Principal II,School Head Positions,Unfilled,5
Region III - Central Luzon,Division of Zambales,School Principal III,School Head Positions,Unfilled,0
Region III - Central Luzon,Division of Zambales,School Principal IV,School Head Positions,Unfilled,0
Region III - Central Luzon,Division of Zambales,Assistant School Principal I,School Head Positions,Unfilled,0
Region III - Central Luzon,Division of Zambales,Assistant School Principal II,School Head Positions,Unfilled,0
Region III - Central Luzon,Division of Zambales,Assistant School Principal III,School Head Positions,Unfilled,0
Region III - Central Luzon,Division of Zambales,Special School Principal I,School Head Positions,Unfilled,0
Region III - Central Luzon,Division of Zambales,Special School Principal II,School Head Positions,Unfilled,0
Region III - Central Luzon,Division of Zambales,Assistant Special School Principal I,School Head Positions,Unfilled,0
Region I - Ilocos,Division of Vigan City,Head Teacher I,School Head Positions,Filled,0
Region I - Ilocos,Division of Vigan City,Head Teacher II,School Head Positions,Filled,1
Region I - Ilocos,Division of Vigan City,Head Teacher III,School Head Positions,Filled,1
Region I - Ilocos,Division of Vigan City,Head Teacher IV,School Head Positions,Filled,0
Region I - Ilocos,Division of Vigan City,Head Teacher V,School Head Positions,Filled,0
Region I - Ilocos,Division of Vigan City,Head Teacher VI,School Head Positions,Filled,8
Region I - Ilocos,Division of Vigan City,School Principal I,School Head Positions,Filled,9
Region I - Ilocos,Division of Vigan City,School Principal II,School Head Positions,Filled,6
Region I - Ilocos,Division of Vigan City,School Principal III,School Head Positions,Filled,2
Region I - Ilocos,Division of Vigan City,School Principal IV,School Head Positions,Filled,4
Region I - Ilocos,Division of Vigan City,Assistant School Principal I,School Head Positions,Filled,0
Region I - Ilocos,Division of Vigan City,Assistant School Principal II,School Head Positions,Filled,1
Region I - Ilocos,Division of Vigan City,Assistant School Principal III,School Head Positions,Filled,0
Region I - Ilocos,Division of Vigan City,Special School Principal I,School Head Positions,Filled,0
Region I - Ilocos,Division of Vigan City,Special School Principal II,School Head Positions,Filled,0
Region I - Ilocos,Division of Vigan City,Assistant Special School Principal I,School Head Positions,Filled,0
Region I - Ilocos,Division of Vigan City,Head Teacher I,School Head Positions,Unfilled,0
Region I - Ilocos,Division of Vigan City,Head Teacher II,School Head Positions,Unfilled,0
Region I - Ilocos,Division of Vigan City,Head Teacher III,School Head Positions,Unfilled,1
Region I - Ilocos,Division of Vigan City,Head Teacher IV,School Head Positions,Unfilled,0
Region I - Ilocos,Division of Vigan City,Head Teacher V,School Head Positions,Unfilled,0
Region I - Ilocos,Division of Vigan City,Head Teacher VI,School Head Positions,Unfilled,0
Region I - Ilocos,Division of Vigan City,School Principal I,School Head Positions,Unfilled,0
Region I - Ilocos,Division of Vigan City,School Principal II,School Head Positions,Unfilled,0
Region I - Ilocos,Division of Vigan City,School Principal III,School Head Positions,Unfilled,0
Region I - Ilocos,Division of Vigan City,School Principal IV,School Head Positions,Unfilled,0
Region I - Ilocos,Division of Vigan City,Assistant School Principal I,School Head Positions,Unfilled,0
Region I - Ilocos,Division of Vigan City,Assistant School Principal II,School Head Positions,Unfilled,1
Region I - Ilocos,Division of Vigan City,Assistant School Principal III,School Head Positions,Unfilled,0
Region I - Ilocos,Division of Vigan City,Special School Principal I,School Head Positions,Unfilled,0
Region I - Ilocos,Division of Vigan City,Special School Principal II,School Head Positions,Unfilled,0
Region I - Ilocos,Division of Vigan City,Assistant Special School Principal I,School Head Positions,Unfilled,0
Negros Island Region (NIR),Division of Victorias City,Head Teacher I,School Head Positions,Filled,0
Negros Island Region (NIR),Division of Victorias City,Head Teacher II,School Head Positions,Filled,0
Negros Island Region (NIR),Division of Victorias City,Head Teacher III,School Head Positions,Filled,7
Negros Island Region (NIR),Division of Victorias City,Head Teacher IV,School Head Positions,Filled,2
Negros Island Region (NIR),Division of Victorias City,Head Teacher V,School Head Positions,Filled,0
Negros Island Region (NIR),Division of Victorias City,Head Teacher VI,School Head Positions,Filled,0
Negros Island Region (NIR),Division of Victorias City,School Principal I,School Head Positions,Filled,11
Negros Island Region (NIR),Division of Victorias City,School Principal II,School Head Positions,Filled,6
Negros Island Region (NIR),Division of Victorias City,School Principal III,School Head Positions,Filled,1
Negros Island Region (NIR),Division of Victorias City,School Principal IV,School Head Positions,Filled,1
Negros Island Region (NIR),Division of Victorias City,Assistant School Principal I,School Head Positions,Filled,0
Negros Island Region (NIR),Division of Victorias City,Assistant School Principal II,School Head Positions,Filled,3
Negros Island Region (NIR),Division of Victorias City,Assistant School Principal III,School Head Positions,Filled,0
Negros Island Region (NIR),Division of Victorias City,Special School Principal I,School Head Positions,Filled,0
Negros Island Region (NIR),Division of Victorias City,Special School Principal II,School Head Positions,Filled,0
Negros Island Region (NIR),Division of Victorias City,Assistant Special School Principal I,School Head Positions,Filled,0
Negros Island Region (NIR),Division of Victorias City,Head Teacher I,School Head Positions,Unfilled,0
Negros Island Region (NIR),Division of Victorias City,Head Teacher II,School Head Positions,Unfilled,1
Negros Island Region (NIR),Division of Victorias City,Head Teacher III,School Head Positions,Unfilled,0
Negros Island Region (NIR),Division of Victorias City,Head Teacher IV,School Head Positions,Unfilled,1
Negros Island Region (NIR),Division of Victorias City,Head Teacher V,School Head Positions,Unfilled,0
Negros Island Region (NIR),Division of Victorias City,Head Teacher VI,School Head Positions,Unfilled,0
Negros Island Region (NIR),Division of Victorias City,School Principal I,School Head Positions,Unfilled,0
Negros Island Region (NIR),Division of Victorias City,School Principal II,School Head Positions,Unfilled,0
Negros Island Region (NIR),Division of Victorias City,School Principal III,School Head Positions,Unfilled,0
Negros Island Region (NIR),Division of Victorias City,School Principal IV,School Head Positions,Unfilled,0
Negros Island Region (NIR),Division of Victorias City,Assistant School Principal I,School Head Positions,Unfilled,0
Negros Island Region (NIR),Division of Victorias City,Assistant School Principal II,School Head Positions,Unfilled,0
Negros Island Region (NIR),Division of Victorias City,Assistant School Principal III,School Head Positions,Unfilled,0
Negros Island Region (NIR),Division of Victorias City,Special School Principal I,School Head Positions,Unfilled,0
Negros Island Region (NIR),Division of Victorias City,Special School Principal II,School Head Positions,Unfilled,0
Negros Island Region (NIR),Division of Victorias City,Assistant Special School Principal I,School Head Positions,Unfilled,0
National Capital Region (NCR),Division of Valenzuela,Head Teacher I,School Head Positions,Filled,0
National Capital Region (NCR),Division of Valenzuela,Head Teacher II,School Head Positions,Filled,1
National Capital Region (NCR),Division of Valenzuela,Head Teacher III,School Head Positions,Filled,129
National Capital Region (NCR),Division of Valenzuela,Head Teacher IV,School Head Positions,Filled,0
National Capital Region (NCR),Division of Valenzuela,Head Teacher V,School Head Positions,Filled,0
National Capital Region (NCR),Division of Valenzuela,Head Teacher VI,School Head Positions,Filled,24
National Capital Region (NCR),Division of Valenzuela,School Principal I,School Head Positions,Filled,15
National Capital Region (NCR),Division of Valenzuela,School Principal II,School Head Positions,Filled,21
National Capital Region (NCR),Division of Valenzuela,School Principal III,School Head Positions,Filled,9
National Capital Region (NCR),Division of Valenzuela,School Principal IV,School Head Positions,Filled,25
National Capital Region (NCR),Division of Valenzuela,Assistant School Principal I,School Head Positions,Filled,0
National Capital Region (NCR),Division of Valenzuela,Assistant School Principal II,School Head Positions,Filled,6
National Capital Region (NCR),Division of Valenzuela,Assistant School Principal III,School Head Positions,Filled,0
National Capital Region (NCR),Division of Valenzuela,Special School Principal I,School Head Positions,Filled,0
National Capital Region (NCR),Division of Valenzuela,Special School Principal II,School Head Positions,Filled,0
National Capital Region (NCR),Division of Valenzuela,Assistant Special School Principal I,School Head Positions,Filled,0
National Capital Region (NCR),Division of Valenzuela,Head Teacher I,School Head Positions,Unfilled,0
National Capital Region (NCR),Division of Valenzuela,Head Teacher II,School Head Positions,Unfilled,0
National Capital Region (NCR),Division of Valenzuela,Head Teacher III,School Head Positions,Unfilled,4
National Capital Region (NCR),Division of Valenzuela,Head Teacher IV,School Head Positions,Unfilled,0
National Capital Region (NCR),Division of Valenzuela,Head Teacher V,School Head Positions,Unfilled,0
National Capital Region (NCR),Division of Valenzuela,Head Teacher VI,School Head Positions,Unfilled,0
National Capital Region (NCR),Division of Valenzuela,School Principal I,School Head Positions,Unfilled,0
National Capital Region (NCR),Division of Valenzuela,School Principal II,School Head Positions,Unfilled,1
National Capital Region (NCR),Division of Valenzuela,School Principal III,School Head Positions,Unfilled,0
National Capital Region (NCR),Division of Valenzuela,School Principal IV,School Head Positions,Unfilled,0
National Capital Region (NCR),Division of Valenzuela,Assistant School Principal I,School Head Positions,Unfilled,0
National Capital Region (NCR),Division of Valenzuela,Assistant School Principal II,School Head Positions,Unfilled,0
National Capital Region (NCR),Division of Valenzuela,Assistant School Principal III,School Head Positions,Unfilled,0
National Capital Region (NCR),Division of Valenzuela,Special School Principal I,School Head Positions,Unfilled,0
National Capital Region (NCR),Division of Valenzuela,Special School Principal II,School Head Positions,Unfilled,0
National Capital Region (NCR),Division of Valenzuela,Assistant Special School Principal I,School Head Positions,Unfilled,0
Region X - Northern Mindanao,Division of Valencia City,Head Teacher I,School Head Positions,Filled,17
Region X - Northern Mindanao,Division of Valencia City,Head Teacher II,School Head Positions,Filled,23
Region X - Northern Mindanao,Division of Valencia City,Head Teacher III,School Head Positions,Filled,6
Region X - Northern Mindanao,Division of Valencia City,Head Teacher IV,School Head Positions,Filled,1
Region X - Northern Mindanao,Division of Valencia City,Head Teacher V,School Head Positions,Filled,0
Region X - Northern Mindanao,Division of Valencia City,Head Teacher VI,School Head Positions,Filled,0
Region X - Northern Mindanao,Division of Valencia City,School Principal I,School Head Positions,Filled,15
Region X - Northern Mindanao,Division of Valencia City,School Principal II,School Head Positions,Filled,17
Region X - Northern Mindanao,Division of Valencia City,School Principal III,School Head Positions,Filled,7
Region X - Northern Mindanao,Division of Valencia City,School Principal IV,School Head Positions,Filled,8
Region X - Northern Mindanao,Division of Valencia City,Assistant School Principal I,School Head Positions,Filled,0
Region X - Northern Mindanao,Division of Valencia City,Assistant School Principal II,School Head Positions,Filled,0
Region X - Northern Mindanao,Division of Valencia City,Assistant School Principal III,School Head Positions,Filled,0
Region X - Northern Mindanao,Division of Valencia City,Special School Principal I,School Head Positions,Filled,0
Region X - Northern Mindanao,Division of Valencia City,Special School Principal II,School Head Positions,Filled,0
Region X - Northern Mindanao,Division of Valencia City,Assistant Special School Principal I,School Head Positions,Filled,0
Region X - Northern Mindanao,Division of Valencia City,Head Teacher I,School Head Positions,Unfilled,1
Region X - Northern Mindanao,Division of Valencia City,Head Teacher II,School Head Positions,Unfilled,0
Region X - Northern Mindanao,Division of Valencia City,Head Teacher III,School Head Positions,Unfilled,0
Region X - Northern Mindanao,Division of Valencia City,Head Teacher IV,School Head Positions,Unfilled,0
Region X - Northern Mindanao,Division of Valencia City,Head Teacher V,School Head Positions,Unfilled,0
Region X - Northern Mindanao,Division of Valencia City,Head Teacher VI,School Head Positions,Unfilled,0
Region X - Northern Mindanao,Division of Valencia City,School Principal I,School Head Positions,Unfilled,0
Region X - Northern Mindanao,Division of Valencia City,School Principal II,School Head Positions,Unfilled,0
Region X - Northern Mindanao,Division of Valencia City,School Principal III,School Head Positions,Unfilled,0
Region X - Northern Mindanao,Division of Valencia City,School Principal IV,School Head Positions,Unfilled,0
Region X - Northern Mindanao,Division of Valencia City,Assistant School Principal I,School Head Positions,Unfilled,0
Region X - Northern Mindanao,Division of Valencia City,Assistant School Principal II,School Head Positions,Unfilled,0
Region X - Northern Mindanao,Division of Valencia City,Assistant School Principal III,School Head Positions,Unfilled,0
Region X - Northern Mindanao,Division of Valencia City,Special School Principal I,School Head Positions,Unfilled,0
Region X - Northern Mindanao,Division of Valencia City,Special School Principal II,School Head Positions,Unfilled,0
Region X - Northern Mindanao,Division of Valencia City,Assistant Special School Principal I,School Head Positions,Unfilled,0
Region I - Ilocos,Division of Urdaneta City,Head Teacher I,School Head Positions,Filled,4
Region I - Ilocos,Division of Urdaneta City,Head Teacher II,School Head Positions,Filled,0
Region I - Ilocos,Division of Urdaneta City,Head Teacher III,School Head Positions,Filled,30
Region I - Ilocos,Division of Urdaneta City,Head Teacher IV,School Head Positions,Filled,1
Region I - Ilocos,Division of Urdaneta City,Head Teacher V,School Head Positions,Filled,0
Region I - Ilocos,Division of Urdaneta City,Head Teacher VI,School Head Positions,Filled,5
Region I - Ilocos,Division of Urdaneta City,School Principal I,School Head Positions,Filled,21
Region I - Ilocos,Division of Urdaneta City,School Principal II,School Head Positions,Filled,8
Region I - Ilocos,Division of Urdaneta City,School Principal III,School Head Positions,Filled,9
